,label,0,1,2,3,4
0,0,81920,0,0,0,0
1,1,81920,0,0,0,0
2,2,81920,0,0,0,0
3,3,81920,0,0,0,0
4,4,81920,0,0,0,0
5,5,81920,0,0,0,0
6,6,81920,0,0,0,0
7,7,81920,0,0,0,0
8,8,81920,0,0,0,0
9,9,81920,0,0,0,0
10,10,81920,0,0,0,0
11,11,81920,0,0,0,0
12,12,81920,0,0,0,0
13,13,81920,0,0,0,0
14,14,81920,0,0,0,0
15,15,81920,0,0,0,0
16,16,81920,0,0,0,0
17,17,81920,0,0,0,0
18,18,81920,0,0,0,0
19,19,81920,0,0,0,0
20,20,81920,0,0,0,0
21,21,81920,0,0,0,0
22,22,81920,0,0,0,0
23,23,81920,0,0,0,0
24,24,81920,0,0,0,0
25,25,81920,0,0,0,0
26,26,81920,0,0,0,0
27,27,81920,0,0,0,0
28,28,81920,0,0,0,0
29,29,81920,0,0,0,0
30,30,81920,0,0,0,0
31,31,81920,0,0,0,0
32,32,81920,0,0,0,0
33,33,81920,0,0,0,0
34,34,81920,0,0,0,0
35,35,81920,0,0,0,0
36,36,81920,0,0,0,0
37,37,81920,0,0,0,0
38,38,81920,0,0,0,0
39,39,81920,0,0,0,0
40,40,81920,0,0,0,0
41,41,81920,0,0,0,0
42,42,81920,0,0,0,0
43,43,81920,0,0,0,0
44,44,81920,0,0,0,0
45,45,81920,0,0,0,0
46,46,81920,0,0,0,0
47,47,81920,0,0,0,0
48,48,81920,0,0,0,0
49,49,81920,0,0,0,0
50,50,81920,0,0,0,0
51,51,81920,0,0,0,0
52,52,81920,0,0,0,0
53,53,81920,0,0,0,0
54,54,81920,0,0,0,0
55,55,81920,0,0,0,0
56,56,81920,0,0,0,0
57,57,81920,0,0,0,0
58,58,81920,0,0,0,0
59,59,81920,0,0,0,0
60,60,81920,0,0,0,0
61,61,81920,0,0,0,0
62,62,81920,0,0,0,0
63,63,81920,0,0,0,0
64,64,81920,0,0,0,0
65,65,81920,0,0,0,0
66,66,81920,0,0,0,0
67,67,81920,0,0,0,0
68,68,81920,0,0,0,0
69,69,81920,0,0,0,0
70,70,81920,0,0,0,0
71,71,81920,0,0,0,0
72,72,81920,0,0,0,0
73,73,81920,0,0,0,0
74,74,81920,0,0,0,0
75,75,81920,0,0,0,0
76,76,81920,0,0,0,0
77,77,81920,0,0,0,0
78,78,81920,0,0,0,0
79,79,81920,0,0,0,0
80,80,81920,0,0,0,0
81,81,81920,0,0,0,0
82,82,81920,0,0,0,0
83,83,81920,0,0,0,0
84,84,81920,0,0,0,0
85,85,81920,0,0,0,0
86,86,81920,0,0,0,0
87,87,81920,0,0,0,0
88,88,81920,0,0,0,0
89,89,81920,0,0,0,0
90,90,81920,0,0,0,0
91,91,81920,0,0,0,0
92,92,81920,0,0,0,0
93,93,81920,0,0,0,0
94,94,81920,0,0,0,0
95,95,81920,0,0,0,0
96,96,81920,0,0,0,0
97,97,81920,0,0,0,0
98,98,81920,0,0,0,0
99,99,81920,0,0,0,0
100,100,81920,0,0,0,0
101,101,81920,0,0,0,0
102,102,81920,0,0,0,0
103,103,81920,0,0,0,0
104,104,81920,0,0,0,0
105,105,81920,0,0,0,0
106,106,81920,0,0,0,0
107,107,81920,0,0,0,0
108,108,81920,0,0,0,0
109,109,81920,0,0,0,0
110,110,81920,0,0,0,0
111,111,81920,0,0,0,0
112,112,81920,0,0,0,0
113,113,81920,0,0,0,0
114,114,81920,0,0,0,0
115,115,81920,0,0,0,0
116,116,81920,0,0,0,0
117,117,81920,0,0,0,0
118,118,81920,0,0,0,0
119,119,81920,0,0,0,0
120,120,81920,0,0,0,0
121,121,81920,0,0,0,0
122,122,81920,0,0,0,0
123,123,81920,0,0,0,0
124,124,81920,0,0,0,0
125,125,81920,0,0,0,0
126,126,81920,0,0,0,0
127,127,81920,0,0,0,0
128,128,81920,0,0,0,0
129,129,81920,0,0,0,0
130,130,81920,0,0,0,0
131,131,81920,0,0,0,0
132,132,81920,0,0,0,0
133,133,81920,0,0,0,0
134,134,81920,0,0,0,0
135,135,81920,0,0,0,0
136,136,81920,0,0,0,0
137,137,81920,0,0,0,0
138,138,81920,0,0,0,0
139,139,81920,0,0,0,0
140,140,81920,0,0,0,0
141,141,81920,0,0,0,0
142,142,81920,0,0,0,0
143,143,81920,0,0,0,0
144,144,81920,0,0,0,0
145,145,81920,0,0,0,0
146,146,81920,0,0,0,0
147,147,81920,0,0,0,0
148,148,81920,0,0,0,0
149,149,81920,0,0,0,0
150,150,81920,0,0,0,0
151,151,81920,0,0,0,0
152,152,81920,0,0,0,0
153,153,81920,0,0,0,0
154,154,81920,0,0,0,0
155,155,81920,0,0,0,0
156,156,81918,2,0,0,0
157,157,81912,8,0,0,0
158,158,81905,15,0,0,0
159,159,81899,21,0,0,0
160,160,81886,34,0,0,0
161,161,81875,45,0,0,0
162,162,81867,53,0,0,0
163,163,81857,63,0,0,0
164,164,81841,79,0,0,0
165,165,81818,102,0,0,0
166,166,81795,125,0,0,0
167,167,81771,149,0,0,0
168,168,81753,167,0,0,0
169,169,81738,182,0,0,0
170,170,81720,200,0,0,0
171,171,81712,208,0,0,0
172,172,81691,229,0,0,0
173,173,81664,256,0,0,0
174,174,81645,275,0,0,0
175,175,81626,294,0,0,0
176,176,81605,315,0,0,0
177,177,81596,324,0,0,0
178,178,81578,342,0,0,0
179,179,81566,354,0,0,0
180,180,81555,365,0,0,0
181,181,81545,375,0,0,0
182,182,81536,384,0,0,0
183,183,81525,395,0,0,0
184,184,81509,411,0,0,0
185,185,81495,425,0,0,0
186,186,81484,436,0,0,0
187,187,81474,446,0,0,0
188,188,81461,458,1,0,0
189,189,81453,466,1,0,0
190,190,81436,482,2,0,0
191,191,81421,491,8,0,0
192,192,81410,496,14,0,0
193,193,81393,507,20,0,0
194,194,81376,517,27,0,0
195,195,81359,525,36,0,0
196,196,81354,529,37,0,0
197,197,81335,537,48,0,0
198,198,81325,541,54,0,0
199,199,81319,540,61,0,0
200,200,81314,540,66,0,0
201,201,81310,544,66,0,0
202,202,81309,544,67,0,0
203,203,81291,551,78,0,0
204,204,81292,546,82,0,0
205,205,81281,542,97,0,0
206,206,81269,537,114,0,0
207,207,81249,536,135,0,0
208,208,81220,528,172,0,0
209,209,81218,514,188,0,0
210,210,81195,511,214,0,0
211,211,81181,496,243,0,0
212,212,81168,481,271,0,0
213,213,81151,474,295,0,0
214,214,81146,461,313,0,0
215,215,81138,452,330,0,0
216,216,81139,430,351,0,0
217,217,81138,419,363,0,0
218,218,81151,403,366,0,0
219,219,81150,384,386,0,0
220,220,81157,368,395,0,0
221,221,81156,349,415,0,0
222,222,81169,337,414,0,0
